id,code,brand,category,short_description,description,severity,diy_possible,source,last_verified_at,scrape_status,linked_product_codes,article_exists,en_exists,sv_exists,classification,recommended_action,blocking_issues
415,DRAINERROR,Samsung,dishwashers,,,medium,True,,,pending,4,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
416,LL,Samsung,dishwashers,,,medium,True,,,pending,2,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
417,SP,Samsung,dishwashers,,,medium,True,,,pending,2,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
418,DF,Samsung,dishwashers,,,medium,True,,,pending,2,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
439,DE,Samsung,dishwashers,,,medium,True,,,pending,1,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
441,EE,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
453,FE,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
460,E3(C3),Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
462,NO,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
463,FC,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
464,3C1~,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
465,4C5,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
468,3C1,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
481,E3,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
484,N2,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
487,4F(4C),Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
489,DE(DC),Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
504,E1,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
505,E2,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
507,E4,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
508,E5,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
509,E6,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
510,E7,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
511,E8,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
512,E9,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
513,E10,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
520,2E,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
521,AE,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
524,LD,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
525,HD,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
526,SH,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
546,1F,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
548,2-2,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
578,HB,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
581,5E1,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
582,5E2,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
583,5E3,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
587,HEX,Samsung,washing-machines,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
607,F4,Samsung,dishwashers,,,medium,True,,,pending,0,False,False,False,B,fact_review,missing_description;not_verified;no_official_samsung_source
