priority,article_id,article_type,brand,category_slug,subject,en_slug,sv_slug,flags
P0-SAFETY,164,error_code,Bosch,washing-machines,E16,error-code-e16,felkod-e16,electrical_testing;hazardous_instruction_without_unplug;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,167,error_code,Bosch,washing-machines,E19,error-code-e19,felkod-e19,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,168,error_code,Bosch,washing-machines,E20,error-code-e20,felkod-e20,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,169,error_code,Bosch,washing-machines,E21,error-code-e21,felkod-e21,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,170,error_code,Bosch,washing-machines,E22,error-code-e22,felkod-e22,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,171,error_code,Bosch,washing-machines,E23,error-code-e23,felkod-e23,meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,172,error_code,Bosch,washing-machines,E25,error-code-e25,felkod-e25,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,173,error_code,Bosch,washing-machines,E26,error-code-e26,felkod-e26,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,174,error_code,Bosch,washing-machines,E27,error-code-e27,felkod-e27,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,175,error_code,Bosch,washing-machines,E28,error-code-e28,felkod-e28,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,176,error_code,Bosch,washing-machines,E29,error-code-e29,felkod-e29,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,177,error_code,Bosch,washing-machines,E30,error-code-e30,felkod-e30,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,178,error_code,Bosch,washing-machines,E32,error-code-e32,felkod-e32,hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,180,error_code,Bosch,washing-machines,E37,error-code-e37,felkod-e37,electrical_testing;hazardous_instruction_without_unplug;meta_at_column_limit;parts_content_in_prevention;parts_json_null;possibly_truncated_meta;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,181,error_code,Bosch,washing-machines,E38,error-code-e38,felkod-e38,parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention;unqualified_fix_claim
P0-SAFETY,183,error_code,Bosch,washing-machines,E44,error-code-e44,felkod-e44,electrical_testing;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,184,error_code,Bosch,washing-machines,E45,error-code-e45,felkod-e45,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,185,error_code,Bosch,washing-machines,E47,error-code-e47,felkod-e47,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,186,error_code,Bosch,washing-machines,E50,error-code-e50,felkod-e50,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,187,error_code,Bosch,washing-machines,E60,error-code-e60,felkod-e60,electrical_testing;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,188,error_code,Bosch,washing-machines,E61,error-code-e61,felkod-e61,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,189,error_code,Bosch,washing-machines,E62,error-code-e62,felkod-e62,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;spare_parts_marker_in_prevention
P0-SAFETY,190,error_code,Bosch,washing-machines,E63,error-code-e63,felkod-e63,electrical_testing;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
P0-SAFETY,191,error_code,Bosch,washing-machines,E64,error-code-e64,felkod-e64,electrical_testing;hazardous_instruction_without_unplug;internal_inspection;parts_content_in_prevention;parts_json_null;remove_panel;spare_parts_marker_in_prevention
